email_address,label
luckyduck880@shaw.ca,ham
coder221@freenet.de,ham
hao_007zpy2@instantreward321@vipoffers.co,ham
meera3@yahoo.com,ham
guitarheroXm6a4@superwin.co,spam
om_cool5@rambler.ru,ham
lei1up6@clickhere789@freestuff.xyz,ham
matthewnn67@getcash258@exclusiveoffer.net,ham
aryahi_888@tiscali.de,ham
john1239@gmail.ch,spam
karthik10@live.co.uk,ham
sung11@bigpond.com,ham
sunhee0b812@instantwin456@promoalert.info,ham
rajat_0077of13@instantreward321@vipoffers.co,ham
kyung14@free.fr,ham
coderlife0115@tin.it,spam
divya16@tesco.net,ham
hyunjun_9917@libero.it,spam
rui18@gmx.ch,ham
advait19@web.de,ham
takumi20@online.de,ham
fiona21@yahoo.ua,ham
jatin_99ugw22@dailydeal852@cashprizes.online,ham
aoi_cool23@live.fr,ham
teacher00724@inbox.ru,spam
xia25@mail.ru,ham
ananyaXenb26@winprizes000@instantwin.club,ham
mei27@hotmail.com,ham
wang28@protonmail.ch,ham
manav29@verizon.net,ham
ella30@posta.it,ham
lucyn7a31@promoalert123@claimbonus.today,ham
anjali7ee32@rewardzone.org,spam
minseo4xx33@claimyourreward.net,spam
lei6kc34@clickreward.io,spam
namanml335@freecoins202@instantdeal.net,ham
wei36@free.fr,ham
nurse0137@fastmail.com,spam
owen38@gmx.net,ham
lucy_lue7s39@getcash444@cashback.biz,ham
seulgiex640@claimyourreward.net,spam
carlostw941@rewardclub741@dailybonus.today,ham
rio42@att.net,ham
studentX43@verizon.net,ham
meera44@gmx.com,ham
josh_wolf45@gmail.ch,ham
sam46@sunrise.ch,ham
lei47@aliceadsl.fr,ham
shogfq48@winprizes.today,spam
fei_0149@bk.ru,spam
krish_0103h50@cashprizes456@moneyspin.xyz,ham
ryu_01jjc51@superbonus888@jackpotwin.io,ham
catherine52@live.fr,ham
wang53@gmx.de,ham
zhangXj7k54@winbig.io,spam
actor22ogu55@instantwin.club,spam
petersv656@freemoney654@superbonus.org,ham
lu57@hotmail.ch,ham
ryan58@sympatico.ca,ham
kumirct59@freecoins202@instantdeal.net,ham
yukiXs4360@freerewards808@luckydraw.info,spam
abhishek61@aol.com,ham
tejas62@online.de,ham
neha63@mail.de,ham
nathanwgu64@freecoins.org,spam
hong_20233fk65@vipoffers.co,spam
anya66@lavabit.com,ham
isabellaX67@sfr.fr,ham
tanishatpc68@winbig123@lottery.net,ham
isabelladlt69@cashback.biz,spam
kiran70@live.fr,ham
sania71@tin.it,ham
